,Job Title,Company Name,Job Location(s),Job Type,Salary,Link
0,ML/NLP Engineer,BCDAPPS (PVT) LIMITED,Islamabad,Full-time,"Rs 60,000 a month",https://pk.indeed.com/company/BCDAPPS-(Pvt)-Limited/jobs/Engineer-7484a7d90692457e?fccid=6bc1e19c1c9475d4&vjs=3
1,AI / ML Engineer,Centrox AI,Islamabad,Full-time,"Rs 40,000 a month",https://pk.indeed.com/company/Centrox-AI/jobs/Engineer-f266f8659eb30d8f?fccid=880613ff3fa7a664&vjs=3
2,Lead AI/ML Engineer,Northbay,Islamabad,Full-time,-,https://pk.indeed.com/rc/clk?jk=a59184c0830c25fb&fccid=b952098a23fde68c&vjs=3
3,AI Engineer - Intern,TEKENABLE,Islamabad,Full-time,-,https://pk.indeed.com/rc/clk?jk=0414db7003aef9dc&fccid=c843c3ddba4e5622&vjs=3
4,"AI Engineer - In Office, Islamabad",Mobiz,Islamabad,Full-time,-,https://pk.indeed.com/rc/clk?jk=9a74bffe18affb15&fccid=4e5b9d54cb950719&vjs=3
5,Lead AI/ML Engineer,NorthBay Solutions,Islamabad,Full-time,-,https://pk.indeed.com/rc/clk?jk=49594e1a917af598&fccid=b952098a23fde68c&vjs=3
6,AI ML Engineer,Appedology PVT Ltd.,Karachi,Full-time,"Rs 50,000 - Rs 100,000 a month",https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/Engineer-db60295c53fbbf6b?fccid=e2fe2b8d82d9ec39&vjs=3
7,AI/ML Engineer,Avanceon MEA,Lahore,Full-time,-,https://pk.indeed.com/rc/clk?jk=6cd7da34a685cb10&fccid=09ba960c1f252172&vjs=3
8,AI/ML Engineer,BCDAPPS (PVT) LIMITED,Islamabad,Full-time,"Rs 60,000 a month",https://pk.indeed.com/company/BCDAPPS-(Pvt)-Limited/jobs/Engineer-636f2a098645e136?fccid=6bc1e19c1c9475d4&vjs=3
9,"AI/ML Engineer (Junior, Mid-Level, Senior)",Jami Partners,Karachi,Full-time,-,https://pk.indeed.com/company/Jami-Partners/jobs/Senior-Engineer-a4a95f47d3ef0191?fccid=b6b0fc3ebe69552f&vjs=3
10,Lead AI Engineer,Northbay,Pakistan,Full-time,-,https://pk.indeed.com/rc/clk?jk=baebba2aef368064&fccid=b952098a23fde68c&vjs=3
11,Machine Learning Engineer,Smart Placement (Pvt) Ltd,Islamabad,Full-time,-,https://pk.indeed.com/company/Smart-Placement/jobs/Machine-Learning-Engineer-d388a48ab0b3bdcf?fccid=8d2c4609b71b6afd&vjs=3
12,Senior AI/ML Engineer,Celeritas,Karachi,Full-time,-,https://pk.indeed.com/company/Celeritas/jobs/Senior-Engineer-145f55005418f36b?fccid=ecdf68d3604d4043&vjs=3
13,Data Scientist/ML Engineer,Zepto Systems Limited,Lahore,Full-time,-,https://pk.indeed.com/company/Zepto-Systems-Limited/jobs/Data-Scientist-9d46a52f92d52ff4?fccid=8fb6acedbc42c153&vjs=3
14,Lead AI Engineer,NorthBay Solutions,Pakistan,Full-time,-,https://pk.indeed.com/rc/clk?jk=96a8437861475e98&fccid=b952098a23fde68c&vjs=3
15,Senior AI Engineer,Tekhqs,Lahore,Full-time,-,https://pk.indeed.com/company/Tekhqs/jobs/Senior-Engineer-9dea88f059d6037e?fccid=f143ef5d03931b12&vjs=3
16,DevOps Engineer,Folio3 Software,Pakistan,-,-,https://pk.indeed.com/rc/clk?jk=1800c3edf837aff5&fccid=307f38f591b91e41&vjs=3
17,Principal AI Engineer,CureMD Healthcare,Lahore,Full-time,-,https://pk.indeed.com/rc/clk?jk=1c7ecab4dfa1783b&fccid=31d158ce3cec7a12&vjs=3
18,Python Developer,Codistan Ventures,Islamabad,Full-time,"Rs 70,000 - Rs 75,000 a month",https://pk.indeed.com/company/Codistan-Ventures/jobs/Python-Developer-37af7af5471ddc93?fccid=156de0a320cda097&vjs=3
19,Sr Machine Learning Engineer (Remote),Smart Placement,Lahore,Full-time,-,https://pk.indeed.com/company/Smart-Placement/jobs/Machine-Learning-Engineer-652761ac85eeba06?fccid=8d2c4609b71b6afd&vjs=3
20,Artificial Intelligence Engineer,Nehal and sons,Karachi,Full-time,-,https://pk.indeed.com/company/Nehal-and-sons/jobs/Business-Intelligence-Developer-2517370345d23499?fccid=1e02f5bacfbb005c&vjs=3
21,MLOps Engineer,Motive,Islamabad,-,-,https://pk.indeed.com/rc/clk?jk=92df456c52747221&fccid=3f4ef5f34c22314a&vjs=3
22,Mid-Level DevOps Engineer,Cloudlogically,Karachi,Full-time,"Rs 40,000 - Rs 65,000 a month",https://pk.indeed.com/company/CloudLogically/jobs/Development-Operations-Engineer-f7e428cbdc505650?fccid=fe7470de668ade03&vjs=3
23,Junior Software Engineer,AlphaBOLD,Lahore,Full-time,-,https://pk.indeed.com/company/AlphaBOLD/jobs/Junior-Software-Engineer-74a1e6f60a839268?fccid=336b45ec51634846&vjs=3
24,Software Engineer,AlphaBOLD,Lahore,-,-,https://pk.indeed.com/rc/clk?jk=4e71600cacd0d198&fccid=336b45ec51634846&vjs=3
25,Software sales Executive,Swati Holdings,Lahore,Full-time,"Rs 70,000 a month",https://pk.indeed.com/company/Swati-Holdings/jobs/Sales-Executive-a0810055af3ac938?fccid=ebf2ef1134866145&vjs=3
26,Senior Web Services Programmer,92 Techno,Islamabad,-,-,https://pk.indeed.com/rc/clk?jk=35dc86d448ee9558&fccid=cb5c0eaf8c40ee72&vjs=3
27,Senior Dot net developer,Swati Holdings,Faisalabad,Contract,-,https://pk.indeed.com/company/Swati-Holdings/jobs/.NET-Developer-afb23b74a710d168?fccid=ebf2ef1134866145&vjs=3
28,"Senior Consultant / Assistant Manager, Power BI Designer and Developer, FAAS, RI, Karachi",EY,Lahore,-,-,https://pk.indeed.com/rc/clk?jk=bcc4b6ad50cded71&fccid=1544766d4c2915b0&vjs=3
29,"SC - AM, Data Strategy and Governance, FAAS, Rapid Innovations, Karachi",EY,Karachi,-,-,https://pk.indeed.com/rc/clk?jk=f6a3440b7a209558&fccid=1544766d4c2915b0&vjs=3
30,Expert Digital Products,PMCL-JAZZ,Islamabad,Full-time,-,https://pk.indeed.com/rc/clk?jk=abff170bf4bbfcca&fccid=103bc3cef54003bf&vjs=3
31,Senior Deep Learning Developer (Text To Speech / TTS),Alethea AI,Lahore,Full-time,-,https://pk.indeed.com/company/Alethea-Ai/jobs/Deep-Learning-Engineer-8146808dca4c5044?fccid=527219646b19bdca&vjs=3
32,"Senior Consultant / Assistant Manager, UX/UI Designer, FAAS, Rapid Innovations, Karachi",EY,Lahore,-,-,https://pk.indeed.com/rc/clk?jk=5732ff222387b3f7&fccid=1544766d4c2915b0&vjs=3
33,"Manager, Data Strategy and Governance, FAAS, Rapid Innovations, Karachi",EY,Lahore,-,-,https://pk.indeed.com/rc/clk?jk=8b3771169090bb4b&fccid=1544766d4c2915b0&vjs=3
